Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Custom field (Actual Result),Custom field (Development),Custom field (Expected Result),Custom field (Goals),Custom field (Issue color),Custom field (Priority),Custom field (Rank),Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Status Category,Status Category Changed
Duplicate products homepage,DG-19,10159,Bug,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,19/Apr/26 12:59 PM,19/Apr/26 12:59 PM,,,,0,"*Steps to Reproduce:*

# Login 
# Open homepage",,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,,,,,,,,,,,,,,,Products duplicated,,Unique products,,,Medium,0|i0006v:,,,,,To Do,19/Apr/26 12:59 PM
Out-of-stock UI incorrect,DG-18,10158,Bug,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,19/Apr/26 12:58 PM,19/Apr/26 12:58 PM,,,,0,"*Steps to Reproduce:*

# Open out-of-stock product",,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,,,,,,,,,,,,,,,Wrong labels + missing wishlist,,Clear label + wishlist,,,High,0|i0006n:,,,,,To Do,19/Apr/26 12:58 PM
Size selection not working,DG-17,10157,Bug,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,19/Apr/26 12:57 PM,19/Apr/26 12:57 PM,,,,0,"*Steps to Reproduce:*

# Open product 
# Select size",,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,,,,,,,,,,,,,,,Missing/not clickable sizes,,Sizes selectable,,,High,0|i0006f:,,,,,To Do,19/Apr/26 12:57 PM
Stock status inconsistency,DG-16,10156,Bug,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,19/Apr/26 12:57 PM,19/Apr/26 12:57 PM,,,,0,"*Steps to Reproduce:*

# Open listing 
# open product",,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,,,,,,,,,,,,,,,Stock differs across pages,,Same stock everywhere,,,High,0|i00067:,,,,,To Do,19/Apr/26 12:57 PM
Cannot verify old password invalidation.,DG-15,10123,Bug,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,16/Apr/26 3:12 PM,16/Apr/26 3:12 PM,,,,0,"*Steps to Reproduce:*

# Navigate to the Login page 
# Enter registered email 
# Enter the old password 
# Click Login",,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,,,,,,,,DG-9,,,,,,,Blocked due to [https://manualtestingpractice.atlassian.net/browse/DG-9|https://manualtestingpractice.atlassian.net/browse/DG-9|smart-link] ,,Login fails. Error: 'No match for E-Mail Address and/or Password.' Old password is no longer valid.,,,High,0|i0005z:,,,,,To Do,16/Apr/26 3:12 PM
Cannot verify reused link behavior.,DG-14,10122,Bug,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,16/Apr/26 3:11 PM,16/Apr/26 3:11 PM,,,,0,"*Steps to Reproduce:*

# Click the already used reset link from the email 
# Attempt to set a new password",,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,,,,,,,,DG-9,,,,,,,Blocked due to [https://manualtestingpractice.atlassian.net/browse/DG-9|https://manualtestingpractice.atlassian.net/browse/DG-9|smart-link] ,,Error message appears indicating the reset link is invalid or has already been used.,,,High,0|i0005r:,,,,,To Do,16/Apr/26 3:11 PM
Cannot verify expired link behavior.,DG-13,10121,Bug,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,16/Apr/26 3:11 PM,16/Apr/26 3:11 PM,,,,0,"*Steps to Reproduce:*

# Open the expired reset link from the email 
# Attempt to set a new password",,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,,,,,,,,DG-9,,,,,,,Blocked due to [https://manualtestingpractice.atlassian.net/browse/DG-9|https://manualtestingpractice.atlassian.net/browse/DG-9|smart-link]  ,,Error message appears indicating the reset link has expired or is no longer valid.,,,High,0|i0005j:,,,,,To Do,16/Apr/26 3:11 PM
Cannot verify login with new password.,DG-12,10120,Bug,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,16/Apr/26 3:09 PM,16/Apr/26 3:09 PM,,,,0,"*Steps to Reproduce:*

# Navigate to the Login page 
# Enter registered email 
# Enter the new password 
# Click Login",,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,,,,,,,,DG-9,,,,,,,Blocked due to [https://manualtestingpractice.atlassian.net/browse/DG-9|https://manualtestingpractice.atlassian.net/browse/DG-9|smart-link] ,,User is logged in successfully with the new password.,,,High,0|i0005b:,,,,,To Do,16/Apr/26 3:09 PM
Cannot verify setting new password.,DG-11,10119,Bug,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,16/Apr/26 3:07 PM,16/Apr/26 3:07 PM,,,,0,"*Steps to Reproduce:*

# Click the reset link in the email 
# Enter a new password 
# Confirm the new password 
# Submit the new password",,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,,,,,,,,DG-9,,,,,,,Blocked due to [https://manualtestingpractice.atlassian.net/browse/DG-9|https://manualtestingpractice.atlassian.net/browse/DG-9|smart-link] ,,Password is updated successfully. User can log in with the new password.,,,High,0|i00053:,,,,,To Do,16/Apr/26 3:07 PM
Cannot verify reset link navigation.,DG-10,10118,Bug,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,16/Apr/26 3:05 PM,16/Apr/26 3:08 PM,,,,0,"*Steps to Reproduce:*

# Open the password reset email 
# Click the reset link in the email",,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,,,,,,,,DG-9,,,,,,,Blocked due to [https://manualtestingpractice.atlassian.net/browse/DG-9|https://manualtestingpractice.atlassian.net/browse/DG-9|smart-link] ,,User is navigated to a page where they can set a new password.,,,High,0|i0004v:,,,,,To Do,16/Apr/26 3:05 PM
Password reset email is not received in the inbox when requested.,DG-9,10117,Bug,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,16/Apr/26 3:04 PM,16/Apr/26 3:12 PM,,,,0,"*Steps to Reproduce:*

# Submit a registered email and click Continue 
# Open the email inbox for the submitted address 
# Check for the password reset email",,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,,,,,,,,,DG-10,DG-11,DG-12,DG-13,DG-14,DG-15,Password reset email is NOT received.,,Password reset email is received with a valid reset link.,,,High,0|i0004n:,,,,,To Do,16/Apr/26 3:04 PM
Clicking Back after registration loads the registration form in a submittable state,DG-8,10116,Bug,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,16/Apr/26 3:03 PM,16/Apr/26 3:03 PM,,,,0,"*Steps to Reproduce:*

# Complete registration with valid data
# After successful registration, click the browser's Back button",,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,,,,,,,,,,,,,,,"The registration form is displayed again with previously entered data, and it can be re-submitted, 
potentially causing duplicate account creation.",,"User is NOT taken back to the registration form in a submittable state. Either the form is empty, the session is already active, or the user is redirected away.",,,High,0|i0004f:,,,,,To Do,16/Apr/26 3:03 PM
Clicking Back after logout restores the logged-in session and account pages are accessible,DG-7,10115,Bug,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,16/Apr/26 3:02 PM,16/Apr/26 3:02 PM,,,,0,"*Steps to Reproduce:*

# Log in with valid credentials
# Log out from the account menu
# Click the browser's Back button",,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,,,,,,,,,,,,,,,Pressing Back after logout displays the account page as if the user is still logged in. Protected content is visible.,,User is NOT taken back to the logged-in state. Session remains cleared. Account pages are not accessible without logging in again.,,,High,0|i00047:,,,,,To Do,16/Apr/26 3:02 PM
Clicking Back after login returns user to the logged-out state,DG-6,10114,Bug,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,16/Apr/26 3:01 PM,16/Apr/26 3:01 PM,,,,0,"*Steps to Reproduce:*

# Log in with valid credentials
# Click the browser's Back button",,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,,,,,,,,,,,,,,,"Clicking Back after login navigates the user back to the Login page, effectively showing a logged-out state despite active session.",,User is NOT taken back to the logged-out state. The session remains active and the user stays logged in.,,,High,0|i0003z:,,,,,To Do,16/Apr/26 3:01 PM
Registering with a non-existent or fake email does not show a validation error,DG-5,10113,Bug,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,16/Apr/26 3:00 PM,16/Apr/26 3:00 PM,,,,0,"h4. *Steps to Reproduce:*

# Navigate to Register Account page
# Enter 'fake_not_real@xyz123.com' in E-Mail field
# Fill all other fields with valid data
# Check Privacy Policy checkbox
# Click Continue",,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,,,,,,,,,,,,,,,"Registration proceeds successfully with a non-existent email. 
No validation error is shown.",,Error message appears indicating the email address does not exist or is not valid.,,,High,0|i0003r:,,,,,To Do,16/Apr/26 3:00 PM
Clicking Back button after logout restores the logged-in session,DG-4,10112,Bug,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,16/Apr/26 2:58 PM,16/Apr/26 2:58 PM,,,,0,"*Steps to Reproduce:*

# Log in with valid credentials
# Log out from the account menu
# Click the browser's Back button",,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,,,,,,,,,,,,,,,Pressing Back after logout returns the user to the logged-in account page as if the session was never ended.,,User is logged out. Pressing Back does not restore the session or show account pages.,,,High,0|i0003j:,,,,,To Do,16/Apr/26 2:58 PM
Phone field accepts non-numeric characters without any validation error,DG-3,10079,Bug,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,15/Apr/26 3:05 PM,15/Apr/26 3:05 PM,,,,0,"*Steps to Reproduce:*

|# Navigate to Register Account page
# Enter 'abc+xyz' in the Telephone field
# Fill all other fields with valid data
# Click Continue|",,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,,,,,,,,,,,,,,,"|Non-numeric characters are accepted without any error.
 Form submits successfully.|",,|Field rejects non-numeric input or an error message is shown.|,,,Low,0|i0003b:,,,,,To Do,15/Apr/26 3:05 PM
Phone field accepts numbers without country code and does not show the required hint,DG-2,10078,Bug,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,15/Apr/26 3:02 PM,15/Apr/26 3:02 PM,,,,0,"*Steps to Reproduce:*

|# Navigate to Register Account page
# Enter '01012345678' in Telephone field (no country code)
# Fill all other fields with valid data
# Click Continue|",,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,,,,,,,,,,,,,,,"|No error or hint is displayed.
The form proceeds with a phone number that has no country code.|",,|Error or hint shown: 'Enter valid phone number with country code!' Form is not submitted.|,,,High,0|i00033:,,,,,To Do,15/Apr/26 3:02 PM
First Name field accepts numbers and special characters without validation error,DG-1,10045,Bug,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,13/Apr/26 1:59 PM,15/Apr/26 3:06 PM,,,,0,"*Steps to Reproduce:*

|# Navigate to Register Account page
# Enter '123!@#' in First Name field
# Fill all other fields with valid data
# Click Continue|",,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,,,,,,,,,,,,,,,"|No error is shown. 
The form is submitted successfully with invalid First Name containing numbers and special characters.|",,|Error message is shown or invalid characters are rejected by the field.|,,,Low,0|i0002v:,,,,,To Do,15/Apr/26 1:14 PM
Verify that Return History shows 'No results' for a newly submitted return,DG-132,10406,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:22 PM,23/Apr/26 7:22 PM,,,,0,Test ID: TCUA_103Preconditions:User has just submitted a new return request.Test Steps:Navigate to the Product Returns pageTest Data:—Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000vr:,,,,,To Do,23/Apr/26 7:22 PM
Verify that the Back button on the return form navigates back correctly,DG-131,10405,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,23/Apr/26 7:22 PM,,,0,Test ID: TCUA_102Preconditions:User is on the Return request form.Test Steps:Navigate to the Return request formTest Data:—Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000vj:,,,,,To Do,23/Apr/26 7:21 PM
Verify that Reason for Return radio buttons all work correctly,DG-130,10404,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,"Test ID: TCUA_101Preconditions:User is on the Return request form.Test Steps:Click each Reason for Return option one by oneTest Data:Dead On Arrival | Faulty, please supply details | Order Error | Other, please supply details | Received Wrong ItemExpected Result:Each option can be selected. Only one option is active at a time.Actual Result:Each option can be selected. Only one option is active at a time.Status:None",,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000vb:,,,,,To Do,23/Apr/26 7:21 PM
Verify that an error is shown when Product Name is left empty on return form,DG-129,10403,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_100Preconditions:User is on the Return request form.Test Steps:Leave Product Name field emptyTest Data:(empty)Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000v3:,,,,,To Do,23/Apr/26 7:21 PM
Verify that an error is shown when Order ID is left empty on return form,DG-128,10402,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_99Preconditions:User is on the Return request form.Test Steps:Leave Order ID field emptyTest Data:(empty)Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000uv:,,,,,To Do,23/Apr/26 7:21 PM
